List Length, Linear Time, Binary Time, Binary Time-R
2389, 0.053617199999280274, 0.0007894000154919922, 0.010834299959242344
2522, 0.056623299955390394, 0.0007649000035598874, 0.009189700009301305
2670, 0.060229299997445196, 0.0008580000139772892, 0.011465199990198016
2837, 0.06470730004366487, 0.0008592000231146812, 0.01132990000769496
3026, 0.06808769999770448, 0.0007587000145576894, 0.009714099986013025
3243, 0.07098899997072294, 0.0009105000062845647, 0.010933000012300909
3492, 0.08220619999337941, 0.0009138999739661813, 0.009980799979530275
3783, 0.0842671999707818, 0.000994600006379187, 0.012163600011263043
4127, 0.09256160003133118, 0.0008567000040784478, 0.012128799979109317
4540, 0.09950379998190328, 0.0008411000017076731, 0.017534600046928972
5044, 0.11367260001134127, 0.0009042000165209174, 0.01704889995744452
5675, 0.128996699990239, 0.0008374999742954969, 0.024823899962939322
